n_bbox_width,n_bbox_height,AnchorBox#,width_mul,height_mul
0.3970037453183521,0.38721804511278196,4,0.07019717958822906,0.15216124087709737
0.39895833333333336,0.5167130919220055,1,0.1355822543878118,0.2767960407913264
0.19866666666666666,0.5854214123006833,4,0.03512772824601907,0.2300472554313672
0.49019607843137253,0.1860215053763441,5,0.08401353701827838,0.03493211390022067
0.4921052631578947,0.28704663212435233,2,0.18369749649379222,0.07218284005290866
0.10745233968804159,0.23273273273273273,5,0.018416000280887086,0.04370379818011777
0.23633440514469453,0.3303030303030303,3,0.13967089729696125,0.11109975914251934
0.5842349304482226,0.24448529411764705,3,0.3452760799595448,0.08223435693411314
0.32996972754793136,0.4317925591882751,1,0.11213712260849439,0.23130528855365162
0.4959677419354839,0.4473684210526316,3,0.2931111934551601,0.15047553085213267
0.38128249566724437,0.3751651254953765,2,0.14232857308113173,0.09434175920005414
0.18961625282167044,0.2972972972972973,4,0.03352745738329574,0.1168259750213558
0.33555555555555555,0.16842105263157894,1,0.11403541396029704,0.09022082328304037
0.06892067620286085,0.49258160237388726,4,0.01218637643046629,0.193564914642883
0.35991605456453307,0.43898809523809523,1,0.12231410147649355,0.23515983747276845
0.45662847790507366,0.28363324764353043,2,0.17045440172831294,0.07132448549150935
0.4458689458689459,0.36507936507936506,3,0.26350338499482723,0.12279702517718387
0.45866666666666667,0.07021791767554479,2,0.17121523523471316,0.017657509802192717
0.45498783454987834,0.7181008902077152,1,0.15462335580733466,0.38467669274426897
0.48418491484184917,0.14285714285714285,2,0.18074091735119208,0.0359238992527369
0.14484126984126985,0.5247678018575851,1,0.04922294949799956,0.28111083725138497
0.3965317919075145,0.3310344827586207,3,0.2343456982007589,0.11134578834656793
0.2342931937172775,0.28067700987306066,2,0.08745907909054336,0.07058108837667491
0.404,0.5814432989690722,1,0.13729561760252984,0.31147111543204276
0.5078236130867709,0.32558139534883723,3,0.30011787604512663,0.10951160384861092
0.36363636363636365,0.506578947368421,1,0.12357841368364521,0.2713673200310199
0.055865921787709494,0.5143603133159269,1,0.01898551048212426,0.27553568990569527
0.358161648177496,0.17142857142857143,2,0.13369781434177883,0.04310867910328429
0.37044534412955465,0.3685800604229607,2,0.13828318329232406,0.09268583070041486
0.13524590163934427,0.1751054852320675,5,0.023179472590452874,0.0328822452130196
0.20874751491053678,0.3798358733880422,4,0.03691019786481116,0.14926034195417384
0.2807486631016043,0.31992337164750956,3,0.16591920954681036,0.1076084875803058
0.4116788321167883,0.431758530183727,2,0.153675192039305,0.10857314957880984
0.32783882783882784,0.3008595988538682,2,0.12237863814134638,0.0756563494291164
0.22584541062801933,0.34767025089605735,4,0.03993340374237408,0.13662053579395436
0.44936708860759494,0.21793103448275863,2,0.1677438047587665,0.05480252768762348
0.2544589774078478,0.21713147410358566,5,0.043611117384898465,0.040774110333986244
0.11366245694603903,0.1301775147928994,5,0.01948033746981803,0.024445430461350854
0.3162251655629139,0.30792377131394183,2,0.11804338541204307,0.07743275776743391
0.34210526315789475,0.44457547169811323,1,0.11626127076816621,0.23815291759154564
0.33666191155492153,0.4126984126984127,1,0.11441139868856738,0.2210768189574501
0.31431897555296856,0.05181918412348401,2,0.11733182559164732,0.013030830048677444
0.16449086161879894,0.4109848484848485,4,0.029084850432376,0.16150064625455676
0.43253968253968256,0.32175925925925924,3,0.25562594468576233,0.1082260013563405
0.5950155763239875,0.32708333333333334,3,0.3516473168600163,0.11001679130684111
